datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20170114-00:00,Patches of Fog,5,1,0,,98,,1017,0,0,5,0,0,0.5,,,,,0
20170114-02:00,Smoke,4,0,0,,100,,1018,0,0,4,0,0,0.5,0,North,,,0
20170114-02:30,Fog,4,1,0,,100,,1018,0,0,4,0,0,0.5,0,North,,,0
20170114-03:00,Partial Fog,5,1,0,,96,,1020,0,0,6,0,0,0.2,,,,,0
20170114-03:30,Fog,5,1,0,,93,,1019,0,0,6,0,0,0.4,0,North,,,0
20170114-04:00,Fog,7,1,0,,100,,1019,0,0,7,0,0,0.4,0,North,,,0
20170114-04:30,Fog,9,1,0,,88,,1020,0,0,11,0,0,0.5,230,SW,,,3.7
20170114-05:00,Fog,9,1,0,,77,,1020,0,0,13,0,0,0.7,250,WSW,,,7.4
20170114-05:30,Fog,10,1,0,,77,,1020,0,0,14,0,0,0.8,300,WNW,,,5.6
20170114-06:00,Smoke,9,0,0,,60,,1020,0,0,15,0,0,0.5,270,West,,,9.3
20170114-06:30,Smoke,9,0,0,,63,,1020,0,0,16,0,0,1,270,West,,,9.3
20170114-07:00,Smoke,9,0,0,,56,,1019,0,0,18,0,0,1.2,270,West,,,5.6
20170114-07:30,Smoke,9,0,0,,56,,1019,0,0,18,0,0,1.5,320,NW,,,7.4
20170114-08:00,Smoke,9,0,0,,56,,1018,0,0,18,0,0,1.5,320,NW,,,9.3
20170114-08:30,Haze,9,0,0,,52,,1018,0,0,19,0,0,2,320,NW,,,9.3
20170114-09:00,Smoke,9,0,0,,41,,1018,0,0,19,0,0,2,290,WNW,,,11.1
20170114-09:30,Smoke,9,0,0,,56,,1018,0,0,18,0,0,2,290,WNW,,,5.6
20170114-10:00,Smoke,10,0,0,,59,,1018,0,0,18,0,0,2,300,WNW,,,9.3
20170114-11:30,Smoke,11,0,0,,68,,1018,0,0,17,0,0,2,280,West,,,7.4
20170114-12:00,Smoke,10,0,0,,59,,1019,0,0,16,0,0,2,290,WNW,,,3.7
